BO,Ban,Stage,Mod,MapLink,MapName
All maps will be played,0,Qualifiers,NM1,,
All maps will be played,0,Qualifiers,NM2,,
All maps will be played,0,Qualifiers,NM3,,
All maps will be played,0,Qualifiers,NM4,,
All maps will be played,0,Qualifiers,HD1,,
All maps will be played,0,Qualifiers,HD2,,
All maps will be played,0,Qualifiers,HR1,,
All maps will be played,0,Qualifiers,HR2,,
All maps will be played,0,Qualifiers,DT1,,
All maps will be played,0,Qualifiers,DT2,,

9,1,Round of 64,NM1,,
9,1,Round of 64,NM2,,
9,1,Round of 64,NM3,,
9,1,Round of 64,NM4,,
9,1,Round of 64,NM5,,
9,1,Round of 64,HD1,,
9,1,Round of 64,HD2,,
9,1,Round of 64,HR1,,
9,1,Round of 64,HR2,,
9,1,Round of 64,DT1,,
9,1,Round of 64,DT2,,
9,1,Round of 64,DT3,,
9,1,Round of 64,TB1,,

9,1,Round of 32,NM1,,
9,1,Round of 32,NM2,,
9,1,Round of 32,NM3,,
9,1,Round of 32,NM4,,
9,1,Round of 32,NM5,,
9,1,Round of 32,HD1,,
9,1,Round of 32,HD2,,
9,1,Round of 32,HR1,,
9,1,Round of 32,HR2,,
9,1,Round of 32,DT1,,
9,1,Round of 32,DT2,,
9,1,Round of 32,DT3,,
9,1,Round of 32,TB1,,

9,1,Round of 16,NM1,,
9,1,Round of 16,NM2,,
9,1,Round of 16,NM3,,
9,1,Round of 16,NM4,,
9,1,Round of 16,NM5,,
9,1,Round of 16,HD1,,
9,1,Round of 16,HD2,,
9,1,Round of 16,HR1,,
9,1,Round of 16,HR2,,
9,1,Round of 16,DT1,,
9,1,Round of 16,DT2,,
9,1,Round of 16,DT3,,
9,1,Round of 16,TB1,,
